"click_id","hs_id","otaCode"
46631710,690176872,"bkng"
46631749,690146657,"ctrp"
46631758,690206463,"last"
46631770,690054276,"htls"
46631821,690189827,"bkng"
46631902,690057227,"bkng"
46631935,690206463,"last"
46631941,690182304,"htls"
46631998,690181376,"bkng"
46632004,690187453,"amom"
46632016,690299470,"bkng"
46632061,1000591651,"bkng"
46632079,690316577,"bkng"
46632097,690206463,"bkng"
46632148,690206463,"last"
46632154,690041662,"bkng"
46632163,690157983,"ctrp"
46632187,690206463,"last"
46632253,690206463,"last"
46632292,690190709,"amom"
46632307,690206463,"last"
46632373,690225631,"amom"
46632475,690259782,"bkng"
46632667,690277630,"bkng"
46632670,690011461,"amom"
46632706,1000288753,"bkng"
46632736,690404481,"agda"
46632784,690404481,"agda"
46632817,690206463,"last"
46632838,690186921,"bkng"
46632850,690196582,"bkng"
46632859,690171600,"bkng"
46632895,1000363598,"bkng"
46632931,690206463,"last"
46633090,690187215,"amom"
46633102,690311991,"bkng"
46633126,690206463,"last"
46633228,690206463,"last"
46633399,690218786,"bkng"
46633606,690182304,"bkng"
46633615,690244259,"bkng"
46633717,1000591651,"bkng"
46633729,690000284,"nhtl"
46633744,690191101,"last"
46633753,690182304,"htls"
46633762,690201441,"amom"
46633849,690197787,"bkng"
46633939,690201863,"amom"
46633948,690000357,"htls"
46633966,690190174,"bkng"
46634149,690122769,"expd"
46634245,690122769,"expd"
46634293,690007647,"htls"
46634314,690206463,"bkng"
46634344,690122769,"expd"
46634356,690476274,"bkng"
46634368,690358772,"htls"
46634617,690196582,"bkng"
46634626,690177327,"bkng"
46635016,690118543,"htls"
46635385,690189244,"bkng"
46635496,690196055,"amom"
46635574,690113248,"bkng"
46635694,690225631,"amom"
46635769,690057604,"bkng"
46635850,690201441,"amom"
46635901,690201441,"amom"
46635922,690206463,"bkng"
46635976,690206463,"bkng"
46635997,690333720,"amom"
46636009,690171311,"bkng"
46636153,690054276,"htls"
46636177,690000444,"bkng"
46636183,690192878,"bkng"
46636240,690008271,"bkng"
46636273,690054276,"expd"
46636339,690206463,"last"
46636345,690190366,"bkng"
46636408,690043717,"last"
46636420,690054276,"expd"
46636627,690187265,"otel"
46636651,1000591651,"bkng"
46636669,690054276,"expd"
46636756,690206463,"bkng"
46636945,690010108,"bkng"
46636957,690232328,"otel"
46636960,690000444,"bkng"
46636972,1000288753,"last"
46636978,690003959,"bkng"
46637008,690358772,"bkng"
46637074,690225631,"bkng"
46637422,690201657,"bkng"
46637722,690002045,"ctrp"
46637749,1003141766,"hawy"
46637923,690225114,"bkng"
46637953,690619205,"htls"
46638043,690122769,"htde"
46638091,690225631,"amom"
46638112,690192878,"bkng"
46638229,690054276,"expd"
46638253,690122769,"hrsd"
46638286,690270369,"bkng"
46638343,690054276,"htls"
46638346,690113248,"bkng"
46638460,690008271,"last"
46638538,690197787,"bkng"
46638673,690189244,"bkng"
46638697,690196582,"htls"
46638703,690196582,"htls"
46638748,690227507,"bkng"
46638778,690171311,"htls"
46638790,690197312,"bkng"
46638826,690290959,"bkng"
46638844,690190871,"bkng"
46638847,690057604,"bkng"
46638913,690171311,"htls"
46638925,690112357,"amom"
46638952,690021548,"bkng"
46639096,690225631,"ctrp"
46639135,690197787,"htde"
46639288,690228273,"htls"
46639339,690095904,"ctrp"
46639534,690054276,"htls"
46639561,690187210,"amom"
46639597,690054276,"htls"
46639675,690187324,"amom"
46639873,690110565,"bkng"
46639876,690196582,"bkng"
46640071,690197787,"bkng"
46640074,690197787,"bkng"
46640080,690086749,"bkng"
46640086,690197787,"bkng"
46640095,690197787,"bkng"
46640098,690197787,"bkng"
46640227,690181376,"htls"
46640317,690181772,"bkng"
46640692,690290959,"bkng"
46640818,690198990,"bkng"
46640875,690187347,"last"
46640905,690122769,"htde"
46640920,690112003,"bkng"
46640995,690118543,"elvl"
46640998,690159609,"bkng"
46641217,690113531,"bkng"
46641271,690358772,"amom"
46641277,690181319,"otel"
46641280,690181319,"otel"
46641313,150043183,"htls"
46641349,690011163,"bkng"
46641370,690122769,"htde"
46641436,690045017,"last"
46641442,690192445,"otel"
46641472,1002910440,"hawy"
46641475,690524111,"htls"
46641535,690226704,"last"
46641685,690358772,"bkng"
46641715,690334249,"bkng"
46641724,690433544,"bkng"
46641757,690358772,"bkng"
46641871,690221681,"htde"
46641892,690191166,"bkng"
46641973,690008271,"bkng"
46641994,150675813,"htls"
46641997,690011461,"bkng"
46642090,690358772,"bkng"
46642138,690223602,"amom"
46642375,690206463,"bkng"
46642462,690193555,"bkng"
46642510,690122769,"htde"
46642543,690296262,"bkng"
46642558,690320527,"bkng"
46642615,690194375,"last"
46642639,690039934,"bkng"
46642645,690181635,"agda"
46642669,1000591651,"bkng"
46642693,690296262,"bkng"
46642750,690311891,"bkng"
46642768,690122769,"htde"
46642804,690051393,"bkng"
46642825,690433544,"bkng"
46642945,690174296,"last"
46642972,690358772,"bkng"
46643011,690333720,"amom"
46643089,690358772,"bkng"
46643149,690206463,"init"
46643224,690190174,"htls"
46643230,690298565,"last"
46643239,690191101,"amom"
46643266,690195493,"agda"
46643335,690187267,"agda"
46643929,690002710,"bkng"
46643941,690008271,"htls"
46644142,690198561,"bkng"
46644211,690122769,"htde"
46644244,690276623,"bkng"
46644325,690008271,"bkng"
46644433,690122769,"htde"
46644487,690020632,"htls"
46644595,690020632,"htls"
46644598,690175370,"amom"
46644826,690187471,"bkng"
46644844,690187267,"agda"
46644877,690206463,"bkng"
46644931,690333090,"amom"
46644964,690358772,"bkng"
46645030,690223667,"htls"
46645057,690358772,"htls"
46645069,690122769,"htde"
46645117,690476274,"bkng"
46645138,1000356560,"bkng"
46645477,690000414,"htde"
46645480,690000414,"htde"
46645516,690206463,"bkng"
46645552,690000444,"bkng"
46645555,690000444,"bkng"
46645657,690022624,"htls"
46645666,690206463,"bkng"
46645669,690225631,"otel"
46645795,1001715347,"hawy"
46645816,690358772,"bkng"
46645819,690225631,"expd"
46645846,690046374,"bkng"
46645996,690551862,"bkng"
46646026,690296262,"bkng"
46646173,690181376,"agda"
46646488,690226704,"bkng"
46646527,690110565,"bkng"
46646581,690410125,"bkng"
46646644,690358772,"bkng"
46646743,690206463,"bkng"
46646770,690206463,"bkng"
46646833,690223727,"bkng"
46646836,690223727,"bkng"
46646956,690191916,"otel"
46647025,690358772,"htls"
46647316,690189822,"amom"
46647382,690338946,"bkng"
46647430,690338946,"bkng"
46647475,690338946,"bkng"
46647493,690068691,"bkng"
46647538,690244100,"bkng"
46647559,690190709,"amom"
46647613,690166954,"bkng"
46647796,1000261735,"last"
46647838,690196761,"bkng"
46647889,690191101,"last"
46647958,690171414,"amom"
46648099,690157983,"bkng"
46648111,690191101,"amom"
46648216,690135864,"agda"
46648258,690201657,"amom"
46648315,690190709,"amom"
46648333,690242114,"last"
46648342,690086749,"bkng"
46648351,1000597016,"bkng"
46648429,690206463,"init"
46648582,690000965,"bkng"
46648678,690184634,"last"
46648684,690206463,"init"
46648795,690942385,"bkng"
46648948,690197787,"bkng"
46648963,690146657,"ctrp"
46649014,690259782,"bkng"
46649077,690086749,"last"
46649080,1003141766,"hawy"
46649155,690010108,"bkng"
46649176,1003141766,"hawy"
46649230,690197312,"bkng"
46649410,690206463,"bkng"
46649413,690057227,"agda"
46649494,690118543,"elvl"
46649563,690198561,"amom"
46649638,150087651,"agda"
46649671,690182304,"amom"
46649683,690122769,"bkng"
46649758,690214118,"bkng"
46649881,690533761,"bkng"
46649911,690113979,"bkng"
46650181,690358772,"htls"
46650256,690358772,"htls"
46650274,690196716,"bkng"
46650340,690358772,"htls"
46650349,690206463,"init"
46650517,690206463,"bkng"
46650616,690071036,"bkng"
46650715,690462591,"bkng"
46650748,690223715,"bkng"
46650946,690462591,"bkng"
46651132,690433544,"bkng"
46651171,690118543,"amom"
46651201,690046374,"bkng"
46651210,690175370,"bkng"
46651324,690122769,"htde"
46651504,690181376,"htls"
46651708,690166782,"bkng"
46651786,690221681,"htde"
46651975,690206463,"bkng"
46652005,690206463,"bkng"
46652038,690206463,"bkng"
46652041,690206463,"init"
46652092,690358772,"bkng"
46652365,690242169,"htls"
46652383,690192446,"bkng"
46652401,1003141766,"hawy"
46652518,690533761,"bkng"
46652551,690549719,"htls"
46652704,690549719,"htls"
46652815,1001529412,"bkng"
46653007,690228809,"bkng"
46653064,1001918855,"bkng"
46653088,690182304,"bkng"
46653358,690122769,"expd"
46653508,690135864,"bkng"
46653712,690206463,"last"
46653856,690206463,"bkng"
46653859,690201863,"bkng"
46654033,690358772,"htls"
